town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
286,557,404,1,403,66,0,1,7,0,8,21,77,221,0,2
287,652,534,4,530,46,2,0,12,0,18,57,51,339,2,3
288,710,534,2,532,41,2,1,16,4,13,53,74,322,1,5
289,703,522,0,522,60,0,1,3,1,6,8,207,233,1,2
290,673,492,1,491,97,1,1,4,1,12,31,64,276,2,2
292,446,346,0,346,33,0,1,7,5,13,31,36,215,0,5
293,373,302,1,301,57,0,1,3,0,10,9,69,149,1,2
294,819,611,0,611,58,0,2,15,6,25,73,185,242,2,3
295,383,252,0,252,42,0,0,7,4,9,14,34,139,0,3
296,186,117,0,117,31,0,0,4,0,3,9,14,53,2,1
297,594,389,0,389,44,1,1,4,0,19,15,111,193,0,1
298,436,287,1,286,58,0,0,2,1,12,9,58,145,0,1
300,651,475,0,475,46,0,5,2,0,3,11,167,237,1,3
301,466,337,1,336,15,0,0,24,11,7,137,6,87,16,33
302,573,452,1,451,71,0,2,7,4,12,37,67,246,4,1
303,528,409,2,407,57,0,1,5,0,9,11,120,201,0,3
304,615,356,1,355,19,1,0,212,10,2,60,2,44,0,5
305,416,250,2,248,73,0,4,0,1,6,22,25,115,0,2
306,491,399,0,399,43,0,0,7,3,12,39,24,260,1,10
307,514,419,0,419,8,9,0,227,34,2,104,3,15,13,4
308,554,385,3,382,50,2,1,8,3,16,82,41,173,0,6
309,950,718,3,715,36,13,0,50,10,17,330,8,149,91,11
310,282,214,0,214,35,0,0,3,2,8,11,45,108,0,2
311,265,202,0,202,10,0,1,10,0,13,35,14,114,0,5
312,209,162,0,162,15,0,0,10,4,7,47,14,64,1,0
313,497,365,0,365,63,0,2,8,1,12,17,37,225,0,0
315,701,482,1,481,58,1,3,4,2,28,27,104,246,2,6
316,738,577,0,577,46,0,1,16,0,17,67,63,362,3,2
317,307,205,0,205,31,2,1,3,1,4,20,36,106,0,1
318,209,138,0,138,6,0,0,2,0,2,45,0,36,14,33
319,496,357,0,357,61,0,3,2,2,5,18,101,161,0,4
320,819,652,0,652,67,2,1,14,1,15,90,34,389,5,34
322,569,403,0,403,39,0,0,5,4,13,23,52,265,1,1
324,423,298,0,298,30,1,0,6,5,10,68,21,151,2,4
325,834,580,0,580,78,0,1,11,2,29,99,40,312,4,4
326,1615,1240,4,1236,78,4,3,19,5,47,111,146,799,2,22
327,698,577,3,574,89,7,3,7,3,9,41,66,339,7,3
329,745,576,1,575,95,0,0,13,0,24,101,58,275,4,5
330,303,208,0,208,48,1,0,6,1,5,23,29,94,1,0
331,915,713,0,713,84,3,2,12,0,22,74,88,407,4,17
334,599,437,1,436,41,1,0,169,5,13,66,5,130,2,4
335,721,511,2,509,66,0,0,3,0,16,28,143,251,0,2
336,551,404,0,404,106,0,1,10,1,8,22,48,203,1,4
