town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,L,MHL,PA,SHS,OTHER
280,719,451,0,451,140,0,7,7,8,47,241,0,1
1257,532,402,0,402,73,2,10,18,5,73,217,1,3
4005,818,621,1,620,1,26,0,431,0,125,11,18,8
363,335,286,0,286,1,12,0,166,3,86,6,8,4
90,569,417,4,413,85,0,3,13,1,75,228,6,2
700,857,661,3,658,34,3,0,28,14,338,202,34,5
13,519,396,5,391,45,1,0,25,12,30,274,1,3
2034,7107,5035,20,5015,67,763,4,226,253,2637,337,691,37
406,674,484,1,483,173,6,0,2,10,16,273,2,1
397,820,602,3,599,152,0,5,1,10,22,404,1,4
422,547,414,1,413,39,0,0,21,7,92,248,5,1
1024,565,437,3,434,44,3,2,12,6,138,209,17,3
1247,7109,5160,25,5135,175,159,68,768,324,1669,1121,758,93
3717,207,132,0,132,3,0,0,12,19,60,28,2,8
1209,219,166,0,166,84,2,13,0,0,6,58,1,2
3770,2301,1723,4,1719,8,50,0,821,8,619,56,110,47
6700,35061,21251,103,21148,336,1517,44,561,1575,10785,2247,3899,184
962,4473,2318,14,2304,42,0,1964,8,0,28,232,9,21
498,9475,6057,28,6029,30,0,5730,1,22,24,53,139,30
2730,28357,20117,126,19991,123,3,19652,6,2,29,96,20,60
497,1230,703,1,702,33,0,656,2,0,4,4,0,3
2720,18238,13218,65,13153,181,18,12708,7,0,23,176,7,33
663,788,640,2,638,10,14,0,244,1,271,34,60,4
2100,18822,12494,68,12426,275,78,18,370,700,7409,2059,1390,127
268,516,403,3,400,21,4,0,193,0,85,93,1,3
462,783,616,2,614,105,1,8,13,16,91,368,7,5
1181,934,696,1,695,55,3,2,32,44,166,379,5,9
1177,330,234,1,233,38,0,0,11,10,49,123,2,0
3788,2143,1778,3,1775,0,146,0,1251,2,294,2,33,47
8900,22876,18354,37,18317,53,16,17976,7,0,65,44,111,45
547,1042,723,4,719,4,0,692,1,0,2,17,0,3
3743,512,386,2,384,12,10,0,144,16,111,71,10,10
1214,246,203,0,203,1,2,0,83,1,94,3,19,0
1295,4569,2613,21,2592,51,3,97,19,472,841,1009,95,5
1232,204,157,0,157,27,1,0,17,4,24,80,1,3
46,2497,1734,7,1727,35,70,3,51,19,457,307,754,31
2660,33555,25148,129,25019,819,252,23,1078,1077,11421,7418,2733,198
96,1353,922,1,921,257,0,3,8,15,45,587,2,4
798,616,494,1,493,21,10,0,10,4,329,60,57,2
577,2163,1749,5,1744,3,336,0,779,0,352,24,199,51
1134,161,114,0,114,3,0,0,7,19,37,48,0,0
758,577,457,0,457,58,0,7,4,16,84,284,2,2
358,678,476,1,475,151,2,3,5,9,29,272,1,3
775,423,323,0,323,21,1,1,7,8,57,220,6,2
64,853,660,1,659,22,7,0,27,5,447,82,67,2
9400,23179,16902,77,16825,1001,140,32,554,505,6716,6995,750,132
1158,217,121,1,120,28,0,1,0,4,18,64,0,5
2009,436,315,0,315,36,0,0,21,1,109,126,18,4
1226,991,754,1,753,172,1,4,17,17,40,497,0,5
